ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
GGRM,1333146800.0,Lebih dari 5%,PT. SURYADUTA INVESTAMA,True,69.29
GGRP,2345623000.0,Lebih dari 5%,Limiwaty Lie,True,19.3671
GGST,,,,,
GHON,198395080.0,Lebih dari 5%,Rudolf Parningotan Nainggolan,False,36.072
GIAA,15670777621.0,Lebih dari 5%,Negara Republik Indonesia ,True,60.54
GJTL,1724972443.0,Lebih dari 5%,DENHAM PTE LTD,True,49.5
GLOB,996552500.0,Lebih dari 5%,PT TRIKOMSEL OKE TBK,True,89.69
GLVA,1114553800.0,Lebih dari 5%,PT Elsiscom Prima Karya,False,74.3
GMFI,25156058796.0,Lebih dari 5%,PT Garuda Indonesia (Persero) Tbk.,True,89.1
GMTD,33000000.0,Lebih dari 5%,"Makassar Permata Sulawesi PT, Jakarta",False,32.5
GOLD,166624127.0,Lebih dari 5%,PT TRIMEGAH SEKURITAS INDONESIA TBK,False,13.05
GOLL,2800618400.0,Lebih dari 5%,PT Jom Prawarsa Indonesia,True,76.42
GOOD,1588455300.0,Lebih dari 5%,PT Tudung Putra Putri Jaya Tbk.,True,21.52
GPRA,365135700.0,Lebih dari 5%,MAJOR INTELLIGENCE LIMITED,False,8.54
GREN,2500000000.0,Lebih dari 5%,Natural Crystal Holding Inc,False,53.26
GRHA,35776.0,Lebih dari 5%,Yayasan Wakaf Bangun Nurani Bangsa,False,24.0
GSMF,5051396464.0,Lebih dari 5%,Equity Global Int. Limited,True,67.76
GTBO,,,,,
GWSA,4387657776.0,Lebih dari 5%,PT Prima Permata Sejahtera,True,56.25
GZCO,470418000.0,Lebih dari 5%,Prajogo Pangestu,False,7.84
HADE,202800000.0,Lebih dari 5%,Dana Pensiun Karyawan Panin Bank,False,9.566
HDFA,2430707293.0,Lebih dari 5%,Tiara Marga Trakindo,False,39.87
HDIT,1001000000.0,Lebih dari 5%,PT. Davest Investama Mandiri,True,65.65
HDTX,707071700.0,Lebih dari 5%,GOLD GAZELLE PROFITS CORP ,False,19.63
HEAL,217162300.0,Lebih dari 5%,Non Widjaja Kusuma,True,7.304
HELI,398300000.0,Lebih dari 5%,PT Startel Communication,True,48.63
HERO,2660194960.0,Lebih dari 5%,MULGRAVE CORPORATION B.V. ,False,63.59
HEXA,408180000.0,Lebih dari 5%,Hitachi Construction Machinery Co. Ltd.,True,48.59
HITS,3232699113.0,Lebih dari 5%,PT Humpuss,False,45.52
HKMU,1944900000.0,Lebih dari 5%,PT Hyamn Sukses Abadi,True,60.37
HMSP,107594221125.0,Lebih dari 5%,"PHILIP MORRIS INDONESIA, PT -",True,92.5
HOKI,1571428570.0,Lebih dari 5%,PT Buyung Investama Gemilang,True,65.9
HOME,0.0,Lebih dari 5%,Benny Tjokrosaputro,False,0.0
HOMI,409500000.0,Lebih dari 5%,PT Graha Mulia Indotama,True,65.0
HOTL,1971753200.0,Lebih dari 5%,PT Tiara Realty,True,55.54
HRME,4666990000.0,Lebih dari 5%,PT Wijaya Wisesa Realty,True,78.3216
HRTA,3262530000.0,Lebih dari 5%,PT TERANG ANUGRAH ABADI,True,70.84
HRUM,2157274800.0,Lebih dari 5%,PT Karunia Bara Perkasa,True,79.792
IATA,937365000.0,Lebih dari 5%,PT Catur Pratama Sejahtera,False,8.76
IBFN,835634253.0,Lebih dari 5%,PT Intraco Penta Tbk,True,55.07
IBST,835970196.0,Lebih dari 5%,PT Bakti Taruna Sejati,True,61.88
ICBP,9391678000.0,Lebih dari 5%,PT INDOFOOD SUKSES MAKMUR Tbk,True,80.53
ICON,233333300.0,Lebih dari 5%,"Dr. Ir. Frans Bambang Siswanto, MM.",True,21.41
IDPR,1697104106.0,Lebih dari 5%,Manuel Djunako,True,84.73
IFII,4800200000.0,Lebih dari 5%,PT Adrindo Intiperkasa,True,51.0
IFSH,867000000.0,Lebih dari 5%,PT Fajar Mining Resources,True,40.8
IGAR,772112420.0,Lebih dari 5%,PT Kingsford Holdings,True,79.42
IIKP,2117686040.0,Lebih dari 5%,PT. Maxima Agro Industri,True,6.3
IKAI,3039545810.0,Lebih dari 5%,PT Mahkota Properti Indo,False,22.844
IKAN,279360000.0,Lebih dari 5%,PT Berkah Delapan Samudera,True,33.52
IKBI,1128486000.0,Lebih dari 5%,"Sumitomo Electric Industries, Ltd.",True,92.2
IMAS,1976765774.0,Lebih dari 5%,Gallant Venture Ltd,True,49.49
IMJS,7959422871.0,Lebih dari 5%,1.PT Indomobil Sukses International Tbk,True,91.97
IMPC,2203852954.0,Lebih dari 5%,PT Tunggal Jaya Investama,False,45.6
INAF,2499999999.0,Lebih dari 5%,PT Bio Farma (Persero),True,80.664
INAI,67282400.0,Lebih dari 5%,Haiyanto,False,10.62
INCI,29989381.0,Lebih dari 5%,Robert Tanmizi,True,15.291
INCO,5835607960.0,Lebih dari 5%,Vale Canada Limited,True,58.73
INDF,4396103450.0,Lebih dari 5%,FIRST PACIFIC INVESTMENT MANAGEMENT LTD,True,50.07
INDO,586040000.0,Lebih dari 5%,Ibrahim Soemedi,False,13.6
INDR,163600000.0,Lebih dari 5%,PT. Irama Investama,True,25.0
INDS,578210207.0,Lebih dari 5%,INDOPRIMA GEMILANG,True,88.11
