No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
24,68851,2015-06-17T00:00:00,MNC36,260.568,267.273,262.653,266.265,36.0,5.697,1254739418.0,3077433864739.0,106899.0,2471682139443070.0,2015
25,68852,2015-06-17T00:00:00,Investor33,342.234,350.199,344.383,348.693,33.0,6.459,820821333.0,2878287134219.0,104948.0,2844003721250690.0,2015
1,68878,2015-06-18T00:00:00,COMPOSITE,4945.753,4964.405,4932.919,4945.499,512.0,-0.254,5357646659.0,3927016932954.0,190563.0,5025654458666410.0,2015
2,68879,2015-06-18T00:00:00,AGRI,2046.101,2059.636,2041.17,2048.144,21.0,2.043,244184330.0,244448649000.0,11332.0,140938569392375.0,2015
3,68880,2015-06-18T00:00:00,MINING,1138.02,1142.424,1129.139,1130.775,41.0,-7.245,1510305125.0,261361728560.0,13698.0,211389496027725.0,2015
4,68881,2015-06-18T00:00:00,BASIC-IND,434.526,435.883,433.015,433.514,65.0,-1.012,532925909.0,305972092025.0,9312.0,304298405222009.0,2015
5,68882,2015-06-18T00:00:00,MISC-IND,1210.975,1218.461,1209.939,1214.023,41.0,3.048,276517302.0,185303922250.0,14712.0,345981969568380.0,2015
6,68883,2015-06-18T00:00:00,CONSUMER,2199.736,2231.239,2199.834,2229.498,36.0,29.762,77138617.0,229340189750.0,12818.0,1047298088471240.0,2015
7,68884,2015-06-18T00:00:00,PROPERTY,498.77,503.286,498.289,502.367,57.0,3.597,1501705462.0,683336839234.0,43347.0,361353281294468.0,2015
8,68885,2015-06-18T00:00:00,INFRASTRUC,1038.199,1041.59,1033.808,1035.316,52.0,-2.883,250658702.0,398247976950.0,18514.0,665954936280868.0,2015
9,68886,2015-06-18T00:00:00,FINANCE,714.465,714.727,703.011,706.412,86.0,-8.053,231833810.0,967459613480.0,25993.0,1269476961109480.0,2015
10,68887,2015-06-18T00:00:00,TRADE,911.422,920.253,913.902,917.621,113.0,6.199,732377402.0,651545921705.0,40837.0,678962751299865.0,2015
11,68888,2015-06-18T00:00:00,MANUFACTUR,1247.087,1257.627,1247.225,1256.099,142.0,9.012,886581828.0,720616204025.0,36842.0,1697578463261630.0,2015
12,68889,2015-06-18T00:00:00,LQ45,850.177,854.577,848.035,850.58,45.0,0.403,814259446.0,2641225218655.0,113386.0,3164219481542460.0,2015
13,68890,2015-06-18T00:00:00,JII,660.815,665.676,661.074,665.055,30.0,4.24,599142234.0,1489461192615.0,72342.0,1919630743639480.0,2015
14,68891,2015-06-18T00:00:00,MBX,1426.83,1432.529,1422.009,1425.983,272.0,-0.847,2623482652.0,3194603869464.0,164876.0,4507889696675610.0,2015
15,68892,2015-06-18T00:00:00,DBX,678.663,681.69,678.856,681.62,240.0,2.957,2734164007.0,732413063490.0,25687.0,517764761990800.0,2015
16,68893,2015-06-18T00:00:00,KOMPAS100,1071.602,1076.824,1068.695,1071.881,100.0,0.279,3276214353.0,3258999853839.0,165191.0,3526766880834270.0,2015
17,68894,2015-06-18T00:00:00,BISNIS-27,420.705,421.997,418.219,419.433,27.0,-1.272,411610823.0,1884163102765.0,73280.0,2471431440457310.0,2015
18,68895,2015-06-18T00:00:00,PEFINDO25,425.651,427.465,421.187,421.187,25.0,-4.464,184633800.0,172340109400.0,12766.0,140876544982060.0,2015
19,68896,2015-06-18T00:00:00,SRI-KEHATI,288.507,289.405,286.877,287.866,25.0,-0.641,314090314.0,1772086588905.0,62095.0,2414451681514880.0,2015
20,68897,2015-06-18T00:00:00,ISSI,158.465,159.467,158.594,159.277,314.0,0.812,3631792683.0,2599181991924.0,139955.0,2886933971741670.0,2015
21,68898,2015-06-18T00:00:00,IDX30,440.212,441.825,438.532,439.92,30.0,-0.292,495816960.0,2188876240610.0,80951.0,2845687400205280.0,2015
22,68899,2015-06-18T00:00:00,INFOBANK15,547.621,547.836,537.498,540.673,15.0,-6.948,114018170.0,912739310305.0,22162.0,1082914554455520.0,2015
23,68900,2015-06-18T00:00:00,SMinfra18,332.786,334.208,332.168,332.631,18.0,-0.155,254284590.0,816364126875.0,33539.0,840705489526900.0,2015
24,68901,2015-06-18T00:00:00,MNC36,266.265,267.491,265.211,266.259,36.0,-0.006,654479629.0,2061946276509.0,82853.0,2471621939050540.0,2015
25,68902,2015-06-18T00:00:00,Investor33,348.693,350.27,347.48,348.7,33.0,0.007,648029249.0,2219201902155.0,84450.0,2844058839066150.0,2015
1,68903,2015-06-19T00:00:00,COMPOSITE,4945.499,4988.579,4958.859,4985.006,513.0,39.507,4813105117.0,5364071320166.0,174212.0,5069527503994610.0,2015
2,68904,2015-06-19T00:00:00,AGRI,2048.144,2066.617,2044.531,2066.617,21.0,18.473,496523069.0,362242594500.0,11797.0,142209757260805.0,2015
3,68905,2015-06-19T00:00:00,MINING,1130.775,1146.974,1134.819,1144.12,42.0,13.345,282751111.0,164354168655.0,14360.0,220054525487684.0,2015
4,68906,2015-06-19T00:00:00,BASIC-IND,433.514,437.384,433.164,437.096,65.0,3.582,668627934.0,914062527170.0,10717.0,306817763826417.0,2015
5,68907,2015-06-19T00:00:00,MISC-IND,1214.023,1229.389,1210.471,1215.963,41.0,1.94,449886174.0,399840691850.0,13738.0,346534992340235.0,2015
6,68908,2015-06-19T00:00:00,CONSUMER,2229.498,2249.784,2227.797,2229.687,36.0,0.189,75261839.0,259189923600.0,14027.0,1047359732460590.0,2015
